year,age,sex,strata,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
7,2,female,non-maori,0.155,0.045877137,0.109,0.155,0.045877137,0.109
8,2,female,non-maori,0.155,0.052680389,0.109,0.155,0.052680389,0.109
9,2,female,non-maori,0.155,0.059509849,0.109,0.155,0.059509849,0.109
10,2,female,non-maori,0.155,0.06634925,0.109,0.155,0.06634925,0.109
11,2,female,non-maori,0.155,0.073185189,0.109,0.155,0.073185189,0.109
12,2,female,non-maori,0.155,0.080008263,0.109,0.155,0.080008263,0.109
13,2,female,non-maori,0.155,0.086813246,0.109,0.155,0.086813246,0.109
14,2,female,non-maori,0.155,0.093598524,0.109,0.155,0.093598524,0.109
15,2,female,non-maori,0.155,0.100365119,0.109,0.155,0.100365119,0.109
16,2,female,non-maori,0.155,0.107115628,0.109,0.155,0.107115628,0.109
17,2,female,non-maori,0.155,0.1138533,0.109,0.155,0.1138533,0.109
18,2,female,non-maori,0,0,0,0,0,0
19,2,female,non-maori,0,0,0,0,0,0
20,2,female,non-maori,0,0,0,0,0,0
0,2,female,maori,0,0,0,0,0,0
1,2,female,maori,0.138,0.017629879,0.154,0.138,0.017629879,0.154
2,2,female,maori,0.138,0.023895368,0.154,0.138,0.023895368,0.154
3,2,female,maori,0.138,0.030201946,0.154,0.138,0.030201946,0.154
4,2,female,maori,0.138,0.03655522,0.154,0.138,0.03655522,0.154
5,2,female,maori,0.138,0.042955023,0.154,0.138,0.042955023,0.154
6,2,female,maori,0.155,0.049395977,0.109,0.155,0.049395977,0.109
7,2,female,maori,0.155,0.055868873,0.109,0.155,0.055868873,0.109
8,2,female,maori,0.155,0.062362502,0.109,0.155,0.062362502,0.109
9,2,female,maori,0.155,0.068865548,0.109,0.155,0.068865548,0.109
10,2,female,maori,0.155,0.075368134,0.109,0.155,0.075368134,0.109
11,2,female,maori,0.155,0.081862821,0.109,0.155,0.081862821,0.109
12,2,female,maori,0.155,0.088344971,0.109,0.155,0.088344971,0.109
13,2,female,maori,0.155,0.094812569,0.109,0.155,0.094812569,0.109
14,2,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
15,2,female,maori,0.155,0.107705798,0.109,0.155,0.107705798,0.109
16,2,female,maori,0.155,0.114135105,0.109,0.155,0.114135105,0.109
17,2,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
18,2,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
19,2,female,maori,0.155,0.107705798,0.109,0.155,0.107705798,0.109
20,2,female,maori,0.155,0.114135105,0.109,0.155,0.114135105,0.109
0,7,male,non-maori,0,0,0,0,0,0
1,7,male,non-maori,0,0,0,0,0,0
2,7,male,non-maori,0,0,0,0,0,0
3,7,male,non-maori,0,0,0,0,0,0
4,7,male,non-maori,0.138,0.012657206,0.154,0.138,0.012657206,0.154
5,7,male,non-maori,0.138,0.014664973,0.154,0.138,0.014664973,0.154
6,7,male,non-maori,0.138,0.016692285,0.154,0.138,0.016692285,0.154
7,7,male,non-maori,0.138,0.018738991,0.154,0.138,0.018738991,0.154
8,7,male,non-maori,0.138,0.020804204,0.154,0.138,0.020804204,0.154
9,7,male,non-maori,0.155,0.022886391,0.109,0.155,0.022886391,0.109
10,7,male,non-maori,0.155,0.024983493,0.109,0.155,0.024983493,0.109
11,7,male,non-maori,0.155,0.027093071,0.109,0.155,0.027093071,0.109
12,7,male,non-maori,0.155,0.02921246,0.109,0.155,0.02921246,0.109
13,7,male,non-maori,0.155,0.031338923,0.109,0.155,0.031338923,0.109
14,7,male,non-maori,0.155,0.033469791,0.109,0.155,0.033469791,0.109
15,7,male,non-maori,0.155,0.035602594,0.109,0.155,0.035602594,0.109
16,7,male,non-maori,0.155,0.037735146,0.109,0.155,0.037735146,0.109
17,7,male,non-maori,0.155,0.039865618,0.109,0.155,0.039865618,0.109
18,7,male,non-maori,0.155,0.041992565,0.109,0.155,0.041992565,0.109
19,7,male,non-maori,0.155,0.044114936,0.109,0.155,0.044114936,0.109
20,7,male,non-maori,0.155,0.044114936,0.109,0.155,0.044114936,0.109
0,7,male,maori,0,0,0,0,0,0
1,7,male,maori,0,0,0,0,0,0
2,7,male,maori,0,0,0,0,0,0
3,7,male,maori,0.138,0.019707788,0.154,0.138,0.019707788,0.154
4,7,male,maori,0.138,0.020902962,0.154,0.138,0.020902962,0.154
5,7,male,maori,0.138,0.02210758,0.154,0.138,0.02210758,0.154
6,7,male,maori,0.138,0.023321433,0.154,0.138,0.023321433,0.154
7,7,male,maori,0.138,0.024544032,0.154,0.138,0.024544032,0.154
8,7,male,maori,0.155,0.025774635,0.109,0.155,0.025774635,0.109
9,7,male,maori,0.155,0.027012286,0.109,0.155,0.027012286,0.109
10,7,male,maori,0.155,0.028255864,0.109,0.155,0.028255864,0.109
11,7,male,maori,0.155,0.029504135,0.109,0.155,0.029504135,0.109
12,7,male,maori,0.155,0.030755815,0.109,0.155,0.030755815,0.109
13,7,male,maori,0.155,0.03200962,0.109,0.155,0.03200962,0.109
14,7,male,maori,0.155,0.033264318,0.109,0.155,0.033264318,0.109
15,7,male,maori,0.155,0.034518776,0.109,0.155,0.034518776,0.109
16,7,male,maori,0.155,0.035771992,0.109,0.155,0.035771992,0.109
17,7,male,maori,0.155,0.037023125,0.109,0.155,0.037023125,0.109
18,7,male,maori,0.155,0.038271502,0.109,0.155,0.038271502,0.109
19,7,male,maori,0,0,0,0,0,0
20,7,male,maori,0,0,0,0,0,0
0,7,female,non-maori,0,0,0,0,0,0
1,7,female,non-maori,0,0,0,0,0,0
2,7,female,non-maori,0.138,0.012717467,0.154,0.138,0.012717467,0.154
3,7,female,non-maori,0.138,0.019217543,0.154,0.138,0.019217543,0.154
4,7,female,non-maori,0.138,0.025781239,0.154,0.138,0.025781239,0.154
5,7,female,non-maori,0.138,0.032415183,0.154,0.138,0.032415183,0.154
6,7,female,non-maori,0.138,0.039117096,0.154,0.138,0.039117096,0.154
7,7,female,non-maori,0.155,0.045877137,0.109,0.155,0.045877137,0.109
8,7,female,non-maori,0.155,0.052680389,0.109,0.155,0.052680389,0.109
9,7,female,non-maori,0.155,0.059509849,0.109,0.155,0.059509849,0.109
10,7,female,non-maori,0.155,0.06634925,0.109,0.155,0.06634925,0.109
11,7,female,non-maori,0.155,0.073185189,0.109,0.155,0.073185189,0.109
12,7,female,non-maori,0.155,0.080008263,0.109,0.155,0.080008263,0.109
13,7,female,non-maori,0.155,0.086813246,0.109,0.155,0.086813246,0.109
14,7,female,non-maori,0.155,0.093598524,0.109,0.155,0.093598524,0.109
15,7,female,non-maori,0.155,0.100365119,0.109,0.155,0.100365119,0.109
16,7,female,non-maori,0.155,0.107115628,0.109,0.155,0.107115628,0.109
17,7,female,non-maori,0.155,0.1138533,0.109,0.155,0.1138533,0.109
18,7,female,non-maori,0,0,0,0,0,0
19,7,female,non-maori,0,0,0,0,0,0
20,7,female,non-maori,0,0,0,0,0,0
0,7,female,maori,0,0,0,0,0,0
1,7,female,maori,0.138,0.017629879,0.154,0.138,0.017629879,0.154
2,7,female,maori,0.138,0.023895368,0.154,0.138,0.023895368,0.154
3,7,female,maori,0.138,0.030201946,0.154,0.138,0.030201946,0.154
4,7,female,maori,0.138,0.03655522,0.154,0.138,0.03655522,0.154
5,7,female,maori,0.138,0.042955023,0.154,0.138,0.042955023,0.154
6,7,female,maori,0.155,0.049395977,0.109,0.155,0.049395977,0.109
7,7,female,maori,0.155,0.055868873,0.109,0.155,0.055868873,0.109
8,7,female,maori,0.155,0.062362502,0.109,0.155,0.062362502,0.109
9,7,female,maori,0.155,0.068865548,0.109,0.155,0.068865548,0.109
10,7,female,maori,0.155,0.075368134,0.109,0.155,0.075368134,0.109
11,7,female,maori,0.155,0.081862821,0.109,0.155,0.081862821,0.109
12,7,female,maori,0.155,0.088344971,0.109,0.155,0.088344971,0.109
13,7,female,maori,0.155,0.094812569,0.109,0.155,0.094812569,0.109
14,7,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
15,7,female,maori,0.155,0.107705798,0.109,0.155,0.107705798,0.109
16,7,female,maori,0.155,0.114135105,0.109,0.155,0.114135105,0.109
17,7,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
18,7,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
19,7,female,maori,0.155,0.107705798,0.109,0.155,0.107705798,0.109
20,7,female,maori,0.155,0.114135105,0.109,0.155,0.114135105,0.109
0,12,male,non-maori,0,0,0,0,0,0
1,12,male,non-maori,0,0,0,0,0,0
2,12,male,non-maori,0,0,0,0,0,0
3,12,male,non-maori,0,0,0,0,0,0
4,12,male,non-maori,0.138,0.012657206,0.154,0.138,0.012657206,0.154
5,12,male,non-maori,0.138,0.014664973,0.154,0.138,0.014664973,0.154
6,12,male,non-maori,0.138,0.016692285,0.154,0.138,0.016692285,0.154
7,12,male,non-maori,0.138,0.018738991,0.154,0.138,0.018738991,0.154
8,12,male,non-maori,0.138,0.020804204,0.154,0.138,0.020804204,0.154
9,12,male,non-maori,0.155,0.022886391,0.109,0.155,0.022886391,0.109
10,12,male,non-maori,0.155,0.024983493,0.109,0.155,0.024983493,0.109
11,12,male,non-maori,0.155,0.027093071,0.109,0.155,0.027093071,0.109
12,12,male,non-maori,0.155,0.02921246,0.109,0.155,0.02921246,0.109
13,12,male,non-maori,0.155,0.031338923,0.109,0.155,0.031338923,0.109
14,12,male,non-maori,0.155,0.033469791,0.109,0.155,0.033469791,0.109
15,12,male,non-maori,0.155,0.035602594,0.109,0.155,0.035602594,0.109
16,12,male,non-maori,0.155,0.037735146,0.109,0.155,0.037735146,0.109
17,12,male,non-maori,0.155,0.039865618,0.109,0.155,0.039865618,0.109
18,12,male,non-maori,0.155,0.041992565,0.109,0.155,0.041992565,0.109
19,12,male,non-maori,0.155,0.044114936,0.109,0.155,0.044114936,0.109
20,12,male,non-maori,0.155,0.044114936,0.109,0.155,0.044114936,0.109
0,12,male,maori,0,0,0,0,0,0
1,12,male,maori,0,0,0,0,0,0
2,12,male,maori,0,0,0,0,0,0
3,12,male,maori,0.138,0.019707788,0.154,0.138,0.019707788,0.154
4,12,male,maori,0.138,0.020902962,0.154,0.138,0.020902962,0.154
5,12,male,maori,0.138,0.02210758,0.154,0.138,0.02210758,0.154
6,12,male,maori,0.138,0.023321433,0.154,0.138,0.023321433,0.154
7,12,male,maori,0.138,0.024544032,0.154,0.138,0.024544032,0.154
8,12,male,maori,0.155,0.025774635,0.109,0.155,0.025774635,0.109
9,12,male,maori,0.155,0.027012286,0.109,0.155,0.027012286,0.109
10,12,male,maori,0.155,0.028255864,0.109,0.155,0.028255864,0.109
11,12,male,maori,0.155,0.029504135,0.109,0.155,0.029504135,0.109
12,12,male,maori,0.155,0.030755815,0.109,0.155,0.030755815,0.109
13,12,male,maori,0.155,0.03200962,0.109,0.155,0.03200962,0.109
14,12,male,maori,0.155,0.033264318,0.109,0.155,0.033264318,0.109
15,12,male,maori,0.155,0.034518776,0.109,0.155,0.034518776,0.109
16,12,male,maori,0.155,0.035771992,0.109,0.155,0.035771992,0.109
17,12,male,maori,0.155,0.037023125,0.109,0.155,0.037023125,0.109
18,12,male,maori,0.155,0.038271502,0.109,0.155,0.038271502,0.109
19,12,male,maori,0,0,0,0,0,0
20,12,male,maori,0,0,0,0,0,0
0,12,female,non-maori,0,0,0,0,0,0
1,12,female,non-maori,0,0,0,0,0,0
2,12,female,non-maori,0.138,0.012717467,0.154,0.138,0.012717467,0.154
3,12,female,non-maori,0.138,0.019217543,0.154,0.138,0.019217543,0.154
4,12,female,non-maori,0.138,0.025781239,0.154,0.138,0.025781239,0.154
5,12,female,non-maori,0.138,0.032415183,0.154,0.138,0.032415183,0.154
6,12,female,non-maori,0.138,0.039117096,0.154,0.138,0.039117096,0.154
7,12,female,non-maori,0.155,0.045877137,0.109,0.155,0.045877137,0.109
8,12,female,non-maori,0.155,0.052680389,0.109,0.155,0.052680389,0.109
9,12,female,non-maori,0.155,0.059509849,0.109,0.155,0.059509849,0.109
10,12,female,non-maori,0.155,0.06634925,0.109,0.155,0.06634925,0.109
11,12,female,non-maori,0.155,0.073185189,0.109,0.155,0.073185189,0.109
12,12,female,non-maori,0.155,0.080008263,0.109,0.155,0.080008263,0.109
13,12,female,non-maori,0.155,0.086813246,0.109,0.155,0.086813246,0.109
14,12,female,non-maori,0.155,0.093598524,0.109,0.155,0.093598524,0.109
